gp_code,gp_name,gp_patient_count,gp_spend_per_head,gp_scrips_per_head,gp_scrips_drift
A81001,THE DENSHAM SURGERY,3441.0,0.0014530659691950015,0.04746875908166231,-16.604995161850233
A81002,QUEENS PARK MEDICAL CENTRE,16741.0,4.181351173765008E-4,0.024250044800191144,-48.91185705134223
A81003,THE GALLAGHER PRACTICE,2891.0,0.003113109650639917,0.07446212383258388,35.21566691690491
A81004,WOODLANDS ROAD SURGERY,6692.0,0.001195457262402869,0.039453078302450685,-24.646623157807994
A81005,SPRINGWOOD SURGERY,6697.0,0.0013438853217858744,0.07519934298939825,-20.013226823563787
A81006,TENNANT STREET MEDICAL PRACTICE,9842.0,0.0017272912009754116,0.05821479374110952,-8.044658329513405
A81007,BANKHOUSE SURGERY,7634.0,0.0024888656012575323,0.1157898873460833,15.728986958241597
A81008,ALBERT HOUSE CLINIC,3513.0,0.0031312268716196983,0.08405066894392259,35.78122214698307
A81009,VILLAGE MEDICAL CENTRE,7412.0,0.0022935779816513763,0.11182271991365353,9.63280174523165
A81011,CHADWICK PRACTICE,8473.0,0.0021243951374955742,0.09224949840670364,4.351514816149459
A81012,WESTBOURNE MEDICAL CENTRE,3941.0,0.004313625983252981,0.08083227607206295,72.69151884040284
A81013,BROTTON SURGERY,4393.0,0.0031868882312770315,0.13231732301388574,37.51877191262303
A81014,QUEENSTREE PRACTICE,3483.0,0.0020097616996841805,0.10790410565604364,0.7730664234061599
A81015,LAGAN SURGERY,2580.0,0.002325581395348837,0.04759302325581396,10.631834544862082
A81016,PARK SURGERY,7618.0,0.0017064846416382253,0.07564058808086112,-8.694165142186803
A81017,WOODBRIDGE PRACTICE,15989.0,0.0012508599662267809,0.08054037150540998,-22.917147707734685
A81018,BENTLEY MEDICAL PRACTICE,4380.0,4.5662100456621003E-4,0.03618264840182648,-47.710464475260686
A81019,CROSSFELL HEALTH CENTRE,7852.0,0.0020376974019358125,0.08390091696383088,1.6451197329037148
A81020,MARTONSIDE MEDICAL CENTRE,6416.0,0.0014027431421446384,0.051870324189526175,-18.175894918629336
A81021,NORMANBY MEDICAL CENTRE,10622.0,0.002165317266051591,0.06398041800037658,5.628958186554578
A81022,HILLSIDE PRACTICE,8493.0,0.001412928293889085,0.04022960084775698,-17.857950690613354
A81023,THE ENDEAVOUR PRACTICE,5594.0,1.787629603146228E-4,0.007588487665355739,-56.384204797860185
A81025,THE DOVECOT SURGERY,3536.0,0.0019796380090497737,0.1454920814479638,-0.16728810483843676
A81026,THE LINTHORPE SURGERY,10928.0,0.0015556368960468522,0.04107979502196193,-13.403095477579283
A81027,YARM MEDICAL PRACTICE,10341.0,6.769171260032879E-4,0.028523353640847113,-40.833602743336414
A81029,PROSPECT SURGERY,5384.0,0.0014858841010401188,0.04213595839524517,-15.580529758071467
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,8722.0,0.001375831231368952,0.05378238936023848,-19.01598909795032
A81031,HAVELOCK GRANGE PRACTICE,10334.0,0.0011612154054577125,0.05198567834333269,-25.71553219769515
A81032,THE GARTH,8558.0,0.0010516475812105631,0.07896354288385136,-29.1358501438313
A81033,OAKFIELD MEDICAL PRACTICE,3106.0,0.0016097875080489374,0.08336767546683838,-11.712705882845622
A81034,THORNABY & BARWICK MEDICAL GROUP,15550.0,0.0015434083601286173,0.08304308681672025,-13.784826895023189
A81035,NEWLANDS MEDICAL CENTRE,8851.0,0.0023726132640379616,0.07776748390012428,12.100002281358103
A81036,NORTON MEDICAL CENTRE,13477.0,0.002597017140313126,0.1746004303628404,19.10509351576244
A81037,THE ERIMUS PRACTICE,6111.0,0.004254622811323842,0.11493536246113566,70.84964957618367
A81038,HIRSEL MEDICAL CENTRE,2606.0,0.0011511895625479663,0.03689562547966232,-26.02850337025395
A81039,EAGLESCLIFFE MEDICAL PRACTICE,6796.0,0.0027957622130665096,0.1334299587992937,25.309208124364947
A81040,MARSH HOUSE MEDICAL PRACTICE,6701.0,0.0017907774958961348,0.07062677212356364,-6.06284190354115
A81041,HART MEDICAL PRACTICE,7951.0,0.0028927178971198592,0.16760407495912463,28.335819891333625
A81042,SOUTH GRANGE MEDICAL CENTRE,4717.0,0.0031799872800508796,0.12186135255458977,37.30334874905837
A81043,THE MANOR HOUSE SURGERY,6520.0,6.134969325153375E-4,0.02730828220858896,-42.81335571757609
A81044,MCKENZIE HOUSE SURGERY,12291.0,0.002359450004068017,0.06079326336343666,11.689092102076817
A81045,THE COATHAM ROAD SURGERY,5984.0,0.0016711229946524064,0.0780163770053476,-9.798030046154487
A81046,WOODLANDS FAMILY MEDICAL CENTRE,10603.0,0.0011317551636329342,0.03887201735357917,-26.63517621274386
A81047,MARSKE MEDICAL CENTRE,5143.0,0.0013610733035193468,0.04024499319463348,-19.476679139197543
A81048,ZETLAND MEDICAL PRACTICE,4349.0,2.2993791676247414E-4,0.009110140262129224,-54.78670459071452
A81049,KINGS MEDICAL CENTRE,4227.0,4.731488052992666E-4,0.012060563047078306,-47.19452529470416
A81051,CAMBRIDGE MEDICAL GROUP,5970.0,6.700167504187605E-4,0.11713567839195979,-41.04900793741603
A81052,THE GREEN HOUSE SURGERY,6203.0,0.0017733354828308884,0.09111236498468483,-6.607319542973292
A81053,WOODSIDE SURGERY,5567.0,0.0016166696604993714,0.07429854499730555,-11.497869550226957
A81054,THE SALTSCAR SURGERY,6604.0,0.0022713506965475467,0.1162916414294367,8.938944924975491
A81057,KINGSWAY MEDICAL CENTRE,6080.0,0.003947368421052632,0.17363486842105263,61.258259838415086
A81058,COULBY MEDICAL PRACTICE,5678.0,7.044734061289186E-4,0.031144769284959493,-39.973393643721096
A81060,THE KOH PRACTICE,4308.0,0.0018570102135561746,0.09449860724233983,-3.995291923512262
A81063,THE HEADLAND MEDICAL CENTRE,4712.0,0.004881154499151104,0.23926994906621393,90.40774147426484
A81064,THE DISCOVERY PRACTICE,5082.0,0.0015741833923652105,0.05454348681621409,-12.824139797556464
A81065,THE ESTON SURGERY,2348.0,0.002555366269165247,0.1508901192504259,17.80490139240737
A81066,PARK LANE SURGERY,3407.0,0.0026416201937188143,0.09220135016143234,20.49744227384151
A81067,ALMA MEDICAL CENTRE,7447.0,0.0028199274875788907,0.15682288169732778,26.063562084169472
A81069,RAINBOW SURGERY,1498.0,0.0013351134846461949,0.05867156208277704,-20.287052394123204
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1260.0,0.0031746031746031746,0.09191269841269842,37.135276118126725
A81605,PARK AVENUE SURGERY,1881.0,0.001594896331738437,0.07253588516746412,-12.177555467327602
A81608,ELM TREE SURGERY,1272.0,0.0023584905660377358,0.09235849056603773,11.659141857689608
A81609,A & B MEDICAL PRACTICE,1005.0,0.001990049751243781,0.016328358208955222,0.1577294714563909
A81610,THE ROSEBERRY PRACTICE,6270.0,0.003987240829346092,0.23121371610845295,62.502934674105624
A81611,PARKWAY MEDICAL CENTRE,3731.0,0.0024122219244170464,0.09246582685607076,13.33644384481755
A81612,THE PATEL PRACTICE,2248.0,0.0026690391459074734,0.10951957295373667,21.353364483481986
A81613,JOURNEE MEDICAL PRACTICE,2862.0,0.0031446540880503146,0.06583508036338225,36.200372108569404
A81618,HUNTCLIFF SURGERY,5715.0,0.0029746281714785653,0.1526754155730534,30.89276745588569
A81621,THORNTREE SURGERY,1504.0,0.005319148936170213,0.2376396276595745,104.08037067483265
A81622,GLADSTONE HOUSE SURGERY,4028.0,0.003227408142999007,0.10906405163853028,38.78365950339885
A81623,DR SYED,1085.0,0.0027649769585253456,0.09986175115207373,24.34820192289105
A81629,RIVERSIDE MEDICAL PRACTICE,2734.0,0.004023408924652524,0.1844147768836869,63.631974027621574
A81630,FULCRUM MEDICAL PRACTICE,920.0,0.0010869565217391304,0.06789130434782609,-28.033630548081184
A81631,WEST VIEW MILLENIUM SURGERY A,4619.0,0.003247456159341849,0.12187919463087249,39.40948730050086
A82003,ULVERSTON HEALTH CENTRE (MURRAY),5785.0,0.0025929127052722557,0.10172342264477097,18.97696764554918
A82005,AMBLESIDE HEALTH CENTRE,4909.0,0.001018537380321858,0.060617233652475046,-30.169432904810122
A82006,APPLEBY MEDICAL PRACTICE,4198.0,0.0019056693663649356,0.06,-2.47632616199294
A82007,DUKE STREET SURGERY,7888.0,0.0069726166328600405,0.08069726166328602,155.69575388795468
A82008,NORWOOD MEDICAL CENTRE,9432.0,0.001272264631043257,0.059155004240882096,-22.248970168335134
A82009,BRIDGEGATE MEDICAL CENTRE,6975.0,0.001003584229390681,0.03330609318996416,-30.636217116622355
A82010,ABBEY ROAD SURGERY,5522.0,9.054690329590728E-4,0.04289750090546903,-33.6990247378336
A82011,HARTINGTON STREET MEDICAL PRACTICE,2347.0,0.002982530890498509,0.08886237750319557,31.139462248566925
A82012,BRAMPTON MEDICAL PRACTICE,12463.0,2.407125090267191E-4,0.006781673754312765,-54.45036012520272
A82013,UPPER EDEN MEDICAL PRACTICE,5577.0,8.965393580778196E-4,0.036498117267348036,-33.97777744155269
A82015,WARWICK ROAD SURGERY,4958.0,6.050826946349334E-4,0.014800322710770473,-43.076018310569516
A82016,ST PAUL'S MEDICAL PRACTICE,12088.0,0.001240900066181337,0.046366644606221044,-23.22806037850482
A82017,BRUNSWICK HOUSE MEDICAL GROUP,10628.0,3.763643206624012E-4,0.00815205118554761,-50.215792824524804
A82018,SPENCER ST SURGERY,9350.0,6.417112299465241E-4,0.024973262032085563,-41.932605657012374
A82019,FUSEHILL MEDICAL PRACTICE,6733.0,0.0013366998366255755,0.0441437694935393,-20.237532124999987
A82020,EDEN MEDICAL GROUP,11363.0,0.001144064067587785,0.03782715832086597,-26.250935990914893
A82021,CASTLEGATE SURGERY,6216.0,3.2175032175032174E-4,0.008257722007722007,-51.92064771119201
A82022,DALSTON MEDICAL GROUP,4475.0,0.0011173184357541898,0.04940782122905028,-27.08583953280553
A82023,DISTINGTON SURGERY,3171.0,0.001261431725007884,0.04601702932828761,-22.58713498246904
A82024,SEASCALE HEALTH CENTRE,4859.0,0.0010290183165260341,0.042821568223914384,-29.842255337510892
A82025,CAPTAIN FRENCH SURGERY,7285.0,0.0019217570350034316,0.07786135895676047,-1.9741263407057952
A82026,THE JAMES COCHRANE PRACT.,12784.0,0.0025031289111389237,0.12170760325406757,16.174236784947844
A82027,STATION HOUSE SURGERY,9871.0,4.0522743389727485E-4,0.015846418802552935,-49.314789041188604
A82028,CASTLEHEAD MEDICAL CENTRE,5206.0,5.762581636573184E-4,0.014481367652708414,-43.97581769299869
A82030,LUNESDALE SURGERY,5116.0,0.0011727912431587178,0.05858092259577795,-25.35417569817209
A82031,SHAP MEDICAL PRACTICE,2345.0,4.2643923240938164E-4,0.004605543710021322,-48.65263210214844
A82032,MARYPORT HEALTH SERVICES,11040.0,0.0015398550724637682,0.050400362318840576,-13.895747903552605
